index;dang_cars_sent;inno_cars_sent;load_cars_sent;empt_cars_sent;grp1_cars_sent;grp2_cars_sent;grp3_cars_sent;grp4_cars_sent;grp5_cars_sent;sp_mark_1_sent;sp_mark_2_sent;sp_mark_3_sent;sp_mark_4_sent;sp_mark_5_sent;sp_mark_6_sent;sp_mark_7_sent;sp_mark_8_sent;sp_mark_9_sent;sum_len_cars_sent;sum_wgt_cars_sent;platf_sent;gcar_sent;tanks_sent;covrd_sent;oth_sent;therm_sent;cars_num;dest_esr_num;gruz_codes_num;operators_num;senders_num;recievers_num;train_types_num;tracks_used;cars_to_storage;dispatch_ids_num;ld_unld_ops_num;cars_sent_after_ld_unld;target
2021-03-16 01:51:00;0.0;0.0;65.0;0.0;0.0;0.0;0.0;52.0;0.0;0.0;0.0;38.0;10.0;4.0;0.0;0.0;0.0;0.0;56.08;3884.356;0.0;0.0;65.0;0.0;0.0;0.0;255.0;19.0;7.0;18.0;11.0;4.0;1.0;5.0;0.0;32.0;30.0;20.0;0.0
2021-03-16 05:51:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;301.0;9.0;7.0;24.0;10.0;5.0;0.0;4.0;0.0;19.0;47.0;0.0;0.0
2021-03-16 09:51:00;0.0;0.0;61.0;0.0;0.0;0.0;0.0;0.0;61.0;0.0;61.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.61;3876.607;0.0;0.0;61.0;0.0;0.0;0.0;133.0;4.0;3.0;17.0;3.0;4.0;1.0;4.0;0.0;8.0;5.0;0.0;12.0
2021-03-16 13:51:00;0.0;5.0;61.0;5.0;0.0;0.0;0.0;64.0;0.0;0.0;0.0;21.0;33.0;10.0;0.0;0.0;0.0;0.0;59.33;3875.214;0.0;16.0;49.0;0.0;1.0;0.0;230.0;13.0;10.0;18.0;13.0;6.0;1.0;4.0;0.0;22.0;34.0;12.0;34.0
2021-03-16 17:51:00;0.0;0.0;63.0;0.0;0.0;0.0;0.0;59.0;0.0;0.0;0.0;25.0;14.0;20.0;0.0;0.0;0.0;0.0;54.25;3980.176;0.0;0.0;63.0;0.0;0.0;0.0;312.0;16.0;6.0;16.0;9.0;3.0;2.0;5.0;0.0;25.0;46.0;34.0;0.0
2021-03-16 21:51:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;204.0;12.0;5.0;14.0;9.0;1.0;0.0;4.0;0.0;14.0;74.0;0.0;0.0
2021-03-17 01:51:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;236.0;5.0;5.0;18.0;4.0;2.0;0.0;4.0;0.0;14.0;22.0;0.0;112.0
2021-03-17 05:51:00;0.0;0.0;127.0;0.0;0.0;0.0;0.0;60.0;65.0;0.0;65.0;32.0;8.0;20.0;0.0;0.0;0.0;0.0;109.72;7787.904;0.0;0.0;127.0;0.0;0.0;0.0;282.0;9.0;7.0;18.0;8.0;3.0;2.0;4.0;0.0;17.0;14.0;112.0;0.0
2021-03-17 09:51:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;227.0;11.0;3.0;17.0;5.0;3.0;0.0;4.0;0.0;13.0;83.0;0.0;111.0
2021-03-17 13:51:00;0.0;1.0;123.0;5.0;0.0;0.0;0.0;95.0;0.0;0.0;0.0;35.0;43.0;17.0;0.0;0.0;0.0;0.0;113.32;7682.938;0.0;8.0;111.0;0.0;9.0;0.0;527.0;32.0;10.0;22.0;27.0;7.0;1.0;5.0;1.0;95.0;219.0;111.0;0.0
2021-03-17 17:51:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;239.0;18.0;4.0;17.0;5.0;3.0;0.0;3.0;0.0;9.0;12.0;0.0;64.0
2021-03-17 21:51:00;0.0;0.0;64.0;0.0;0.0;0.0;0.0;61.0;0.0;0.0;0.0;21.0;8.0;32.0;0.0;0.0;0.0;0.0;55.21;3927.41;0.0;0.0;64.0;0.0;0.0;0.0;318.0;15.0;6.0;18.0;11.0;2.0;1.0;5.0;0.0;29.0;80.0;64.0;0.0
2021-03-18 01:51:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;303.0;21.0;5.0;18.0;16.0;3.0;0.0;4.0;0.0;27.0;5.0;0.0;63.0
