index_code;mnem_code;description
06;Бр;"Бросание" поезда на станции
75;Сп;Включение поезда в соединенный поезд
09;Нл;Готовность поезда к отправлению
65;Нк;Дополнение очередной группы вагонов в накопление
56;Зд;Другие случаи задержки в продвижении поезда
74;ИИ;Изменение индекса поезда
76;Рз;Исключение поезда из соединенного поезда(при его разъединении)
73;Кр;Корректировка ТГНЛ с.09 (без приц/отц) или повторным с.02
55;Нк;Начало накопления состава поезда
35;Сп;Образование соединенного поезда
05;Фм;Окончание формирования поезда
30;От;Отпр. (просл.) поезда со станции "чужой" дороги в направл. "нашей" дороги
22;Сд;Отпр. поезда co станции со сдачей на другую дорогу
02;От;Отпр. поезда со станции (без сдачи на дорогу,отделение,участок ДНЦ)
42;От;Отпр. поезда со станции со сдачей на соседнее отделение
62;От;Отпр. поезда со станции со сдачей на соседний участок
72;Оц;Отцепка вагонов
98;ПР;ПРПС
07;Нл;Перестановка поезда из парка в парк
44;Пг;Подача маршрута под грузовые операции
54;Рф;Прекращение "жизни" поезда 3-й категории
64;Пб;Приб. пассажирского поезда на станцию назначения
01;Пб;Приб. поезда на станцию (без приема на дорогу, отделение, участок ДНЦ)
31;Пб;Приб. поезда на станцию с приемом на отделение
51;Пб;Приб. поезда на станцию с приемом на участок ДНЦ
11;Пр;Приб. поезда с приемом на дорогу, из-за границы или новостройки
10;Пр;Прием поезда на дорогу (при отпр. со стык. станции другой дороги)
71;Пц;Прицепка вагонов
70;По;Прицепка и отцепка вагонов (одновременные)
90;Пг;Прогноз приема поезда на дорогу
03;Пс;Просл. поездом станции без остановки (без приема/сдачи)
13;Пр;Просл. поездом станции без остановки с приемом на дорогу
23;Сд;Просл. поездом станции без остановки со сдачей на дорогу
33;Пс;Просл. поездом станции с приемом на отделение
53;Пс;Просл. поездом станции с приемом на участок ДНЦ
43;Пс;Просл. поездом станции со сдачей на соседнее отделение
63;Пс;Просл. поездом станции со сдачей на соседний участок ДНЦ
34;Рз;Разъединение соединенного поезда
04;Рф;Расформирование поезда
92;Оп;Сведения о пропущенных опер. отправления
91;Пп;Сведения о пропущенных опер. прибытия
93;Пп;Сведения о пропущенных опер. проследов.
20;Сд;Сдача поезда на соседнюю дорогу (при приб. стык. станц. другой дороги)
